Id,text,target
926,電子部品業界では、既存技術応用分野及び新規市場の開拓に注力しましたが、前期好調に推移したスマートフォン向け圧電部品の製造用装置の反動減により、受注・売上ともに前年同期に対して減少となりました,0.0
361,Iwaki Singapore Pte Ltd（シンガポール）は主力市場である半導体・液晶市場、水処理市場が好調に推移しましたが、円高の影響を受け売上高は２億37百万円（前年比1.8％減）となりました,1.0
1012,また、小巻ラップでは同業他社の事業撤退もあり増収となりました,1.0
2693,米国も個人消費が景気を下支えしております,1.0
1654,このような活動の結果、売上収益は628億２千７百万円（前期比48.0％の増加）、営業活動に係る利益は66億４千万円（前期比49.6％の増加）、当社株主に帰属する当期純利益は34億７百万円（前期比52.1％の増加）となりました,1.0
2031,当連結会計年度においては動画広告やスマートデバイス広告、データを活用した運用型広告取引の売上増加が全体の売上の伸長を牽引いたしました,1.0
1620,"また、円高の影響や燃油価格の下落によって費用が減少したことに加え、着実にコストマネジメント等を通じて費用抑制に努めたものの、事業規模拡大に伴う生産連動費用が増加したこと等により、営業利益は1,395億円（前期比0.2％減）となった",0.0
619,クレジット事業は、住宅関連、高級時計、二輪の取扱いが拡大し、輸入車、中古車及びオートリースの取扱いが好調に推移したことから取扱高が増加いたしました,1.0
1018,学習塾業界におきましては、少子化の影響で市場の停滞が続くなか、顧客の学習塾選別の目がさらに厳しくなっており、資本・業務提携等の動きが続いております,0.0
1900,産業機器事業において、北米向けレジャービークル用エンジンの販売が減少したことにより、売上高は353億円と前連結会計年度に比べ48億円（11.9％）の減収となりました,0.0
380,半導体業界におきましては、スマートフォンなどモバイル機器の高機能化・大容量化、データセンター投資の増加に伴う3D-NAND型フラッシュメモリなどの需要拡大、産業機械や自動車搭載用途のパワーデバイスの需要拡大などを背景として、ファウンドリや半導体メーカーに設備投資を積極化する動きが本格化したことから、半導体製造装置市場の回復が鮮明となりました,1.0
1865,しかしながらプリンター関連では市場低迷により減収となりました,0.0
2477,当社グループの関連市場である自動車部品業界は、国内需要・海外需要ともに堅調に推移いたしましたが、売上面で円高の影響を受けました,1.0
1078,"以上の結果、焼肉事業の当連結会計年度の売上高は、23,549百万円（前年同期比2.1％増）となりました",1.0
638,日本では、スマートフォン関係が好調であった東南アジア向けは順調に推移したものの、日本国内向けの薬品販売は低調に推移いたしました,1.0
1230,また、売上高は24億76百万円（同12.9％減）となり、営業利益は１億95百万円（同50.4％減）、受注残高は13億３百万円（同16.6％減）となりました,0.0
1829,当社グループの属する設備工事業界におきましては、堅調であった設備投資に低調な動きも見られ、熾烈な受注価格競争が続くなど、厳しい環境で推移しました,0.0
2151,その結果、医療関連機器製品全体では、売上は前年同期に比べ増加しました,1.0
643,スマートデバイスビジネスでは、マリオの新しいアクションゲームアプリ『スーパーマリオ ラン』のiOS版を12月に、Android版を3月に配信開始し、世界中のお客様から大きな反響をいただいています,1.0
